party,red,green,blue,polling
Independent,253,201,72,60
Republican,255,210,192,19
Independent,255,253,248,1
Independent,255,253,248,1
Independent,251,197,54,66
Republican,255,180,153,30
Independent,248,193,27,75
Republican,255,204,184,20
Democratic,172,203,237,31
Republican,255,110,71,57
Democratic,129,180,228,47
Republican,255,133,97,49
Democratic,123,176,227,48
Republican,255,133,97,48
Democratic,123,176,227,50
Republican,255,141,105,46
Democratic,114,172,225,50
Democratic,159,196,234,36
Democratic,159,196,234,36
Democratic,178,207,238,29
Democratic,144,188,231,40
Republican,255,119,80,53
Democratic,166,199,235,34
Republican,255,161,130,39
Independent,255,219,136,40
Republican,255,154,121,42
Democratic,159,196,234,35
Republican,255,147,113,45
Independent,255,251,241,3
Democratic,78,157,219,60
Republican,255,204,184,22
Independent,255,249,234,5
Independent,255,253,248,2
Democratic,105,168,223,54
Republican,255,180,153,32
Independent,255,249,234,6
Democratic,172,203,237,32
Republican,255,147,113,44
Independent,255,249,234,5
Democratic,166,199,235,34
Republican,255,147,113,43
Independent,255,249,234,5
Independent,255,253,248,0
Democratic,152,192,232,38
Republican,255,167,137,37
Democratic,129,180,228,45
Republican,255,174,145,33
Democratic,159,196,234,35
Republican,255,126,89,50
Independent,255,249,234,5
Republican,255,204,184,20
Republican,255,216,200,17
Republican,255,227,216,12
Republican,255,222,208,13
Republican,255,244,239,4
Independent,255,232,182,25
Independent,255,219,136,40
Independent,255,244,222,11
Democratic,236,243,251,6
Independent,255,240,209,16
Democratic,217,230,247,14
Democratic,230,238,249,9
Democratic,236,243,251,5
Republican,255,222,208,14
